Exchange Date,Close
22-Nov-2024,1.416
15-Nov-2024,1.406
08-Nov-2024,1.295
01-Nov-2024,1.183
25-Oct-2024,1.322
18-Oct-2024,1.177
11-Oct-2024,1.187
04-Oct-2024,1.226
27-Sep-2024,1.098
20-Sep-2024,0.985
13-Sep-2024,1.016
06-Sep-2024,1.040
30-Aug-2024,1.142
23-Aug-2024,1.046
16-Aug-2024,1.118
09-Aug-2024,1.153
02-Aug-2024,1.054
26-Jul-2024,0.902
19-Jul-2024,0.888
12-Jul-2024,0.871
05-Jul-2024,0.913
28-Jun-2024,0.960
21-Jun-2024,0.936
14-Jun-2024,0.987
07-Jun-2024,0.924
31-May-2024,0.962
24-May-2024,0.962
17-May-2024,0.869
10-May-2024,0.848
03-May-2024,0.868
26-Apr-2024,0.839
19-Apr-2024,0.899
12-Apr-2024,0.894
05-Apr-2024,0.771
29-Mar-2024,0.796
22-Mar-2024,0.837
15-Mar-2024,0.796
08-Mar-2024,0.773
01-Mar-2024,0.750
23-Feb-2024,0.662
16-Feb-2024,0.708
09-Feb-2024,0.777
02-Feb-2024,0.837
26-Jan-2024,0.812
19-Jan-2024,0.814
12-Jan-2024,0.931
05-Jan-2024,1.011
29-Dec-2023,0.931
22-Dec-2023,0.984
15-Dec-2023,0.960
08-Dec-2023,1.132
01-Dec-2023,1.280
24-Nov-2023,1.380
17-Nov-2023,1.299
10-Nov-2023,1.348
03-Nov-2023,1.414
27-Oct-2023,1.443
20-Oct-2023,1.449
13-Oct-2023,1.579
06-Oct-2023,1.092
29-Sep-2023,1.216
22-Sep-2023,1.174
15-Sep-2023,1.071
08-Sep-2023,0.989
01-Sep-2023,1.014
25-Aug-2023,1.009
18-Aug-2023,1.065
11-Aug-2023,1.037
04-Aug-2023,0.844
28-Jul-2023,0.743
21-Jul-2023,0.818
14-Jul-2023,0.739
07-Jul-2023,0.958
30-Jun-2023,1.062
23-Jun-2023,0.937
16-Jun-2023,1.022
09-Jun-2023,0.909
02-Jun-2023,0.639
26-May-2023,0.660
19-May-2023,0.788
12-May-2023,0.872
05-May-2023,0.956
28-Apr-2023,1.010
21-Apr-2023,1.087
14-Apr-2023,1.111
07-Apr-2023,1.165
31-Mar-2023,1.343
24-Mar-2023,1.145
17-Mar-2023,1.187
10-Mar-2023,1.509
03-Mar-2023,1.282
24-Feb-2023,1.446
17-Feb-2023,1.361
10-Feb-2023,1.519
03-Feb-2023,1.651
27-Jan-2023,1.607
20-Jan-2023,1.928
13-Jan-2023,1.835
06-Jan-2023,1.931
30-Dec-2022,2.103
23-Dec-2022,2.273
16-Dec-2022,3.309
09-Dec-2022,4.026
02-Dec-2022,3.921
25-Nov-2022,3.356
18-Nov-2022,3.125
11-Nov-2022,2.612
04-Nov-2022,3.232
28-Oct-2022,2.872
21-Oct-2022,2.340
14-Oct-2022,3.004
07-Oct-2022,3.243
30-Sep-2022,4.019
23-Sep-2022,3.211
16-Sep-2022,3.314
09-Sep-2022,4.366
02-Sep-2022,4.734
26-Aug-2022,7.552
19-Aug-2022,5.432
12-Aug-2022,4.680
05-Aug-2022,4.430
29-Jul-2022,4.190
22-Jul-2022,3.670
15-Jul-2022,2.353
08-Jul-2022,3.018
01-Jul-2022,2.794
24-Jun-2022,1.972
17-Jun-2022,2.350
10-Jun-2022,1.713
03-Jun-2022,1.862
27-May-2022,1.804
20-May-2022,1.750
13-May-2022,1.748
06-May-2022,1.608
29-Apr-2022,1.952
22-Apr-2022,2.038
15-Apr-2022,2.142
08-Apr-2022,2.738
01-Apr-2022,3.053
25-Mar-2022,2.842
