Exchange Date,Close
25-Nov-2005,20.15
02-Dec-2005,21.80
09-Dec-2005,21.70
16-Dec-2005,22.10
23-Dec-2005,21.35
30-Dec-2005,22.10
06-Jan-2006,24.00
13-Jan-2006,24.00
20-Jan-2006,27.90
27-Jan-2006,26.90
03-Feb-2006,28.85
10-Feb-2006,27.30
17-Feb-2006,27.70
24-Feb-2006,27.65
03-Mar-2006,28.05
10-Mar-2006,27.90
17-Mar-2006,27.95
24-Mar-2006,27.95
31-Mar-2006,28.40
07-Apr-2006,29.85
14-Apr-2006,30.15
21-Apr-2006,30.75
28-Apr-2006,14.25
05-May-2006,13.20
12-May-2006,9.80
19-May-2006,16.95
26-May-2006,19.55
02-Jun-2006,17.05
09-Jun-2006,14.60
16-Jun-2006,15.65
23-Jun-2006,16.05
30-Jun-2006,16.55
07-Jul-2006,16.80
14-Jul-2006,17.50
21-Jul-2006,17.40
28-Jul-2006,16.90
04-Aug-2006,15.90
11-Aug-2006,16.50
18-Aug-2006,16.55
25-Aug-2006,17.00
01-Sep-2006,16.50
08-Sep-2006,16.95
15-Sep-2006,16.75
22-Sep-2006,13.85
29-Sep-2006,13.30
06-Oct-2006,12.40
13-Oct-2006,12.75
20-Oct-2006,13.05
27-Oct-2006,12.15
03-Nov-2006,10.80
10-Nov-2006,8.95
17-Nov-2006,8.75
24-Nov-2006,9.20
01-Dec-2006,7.65
08-Dec-2006,7.30
15-Dec-2006,6.60
22-Dec-2006,6.95
29-Dec-2006,6.60
05-Jan-2007,4.80
12-Jan-2007,4.05
19-Jan-2007,4.00
26-Jan-2007,3.05
02-Feb-2007,2.00
09-Feb-2007,1.65
16-Feb-2007,1.15
23-Feb-2007,0.95
02-Mar-2007,1.10
09-Mar-2007,1.35
16-Mar-2007,1.20
23-Mar-2007,1.00
30-Mar-2007,1.31
06-Apr-2007,0.83
13-Apr-2007,0.76
20-Apr-2007,0.63
27-Apr-2007,0.53
04-May-2007,0.54
11-May-2007,0.32
18-May-2007,0.28
25-May-2007,0.29
01-Jun-2007,0.29
08-Jun-2007,0.27
15-Jun-2007,0.17
22-Jun-2007,0.12
29-Jun-2007,0.13
06-Jul-2007,0.15
13-Jul-2007,0.13
20-Jul-2007,0.13
27-Jul-2007,0.12
03-Aug-2007,0.09
10-Aug-2007,0.10
17-Aug-2007,0.11
24-Aug-2007,0.11
31-Aug-2007,0.10
07-Sep-2007,0.10
14-Sep-2007,0.07
21-Sep-2007,0.08
28-Sep-2007,0.08
05-Oct-2007,0.11
12-Oct-2007,0.07
19-Oct-2007,0.07
26-Oct-2007,0.07
02-Nov-2007,0.08
09-Nov-2007,0.10
16-Nov-2007,0.08
23-Nov-2007,0.08
30-Nov-2007,0.01
07-Dec-2007,0.03
14-Dec-2007,0.03
21-Dec-2007,21.93
28-Dec-2007,22.21
04-Jan-2008,23.55
11-Jan-2008,23.11
18-Jan-2008,22.28
25-Jan-2008,21.04
01-Feb-2008,19.22
08-Feb-2008,20.39
15-Feb-2008,20.87
22-Feb-2008,21.48
29-Feb-2008,21.31
07-Mar-2008,21.38
14-Mar-2008,22.21
21-Mar-2008,21.97
28-Mar-2008,21.76
04-Apr-2008,23.31
11-Apr-2008,24.38
18-Apr-2008,24.51
25-Apr-2008,24.74
02-May-2008,24.50
09-May-2008,25.17
16-May-2008,24.89
23-May-2008,26.11
30-May-2008,26.10
06-Jun-2008,27.54
13-Jun-2008,27.00
20-Jun-2008,27.41
27-Jun-2008,28.34
04-Jul-2008,27.64
11-Jul-2008,27.45
18-Jul-2008,24.50
25-Jul-2008,24.94
01-Aug-2008,21.38
08-Aug-2008,22.61
15-Aug-2008,23.19
22-Aug-2008,24.58
29-Aug-2008,25.19
05-Sep-2008,24.40
12-Sep-2008,23.90
19-Sep-2008,24.68
26-Sep-2008,24.45
03-Oct-2008,23.07
10-Oct-2008,22.04
17-Oct-2008,21.68
24-Oct-2008,19.14
31-Oct-2008,17.94
07-Nov-2008,18.69
14-Nov-2008,17.43
21-Nov-2008,15.03
28-Nov-2008,15.52
05-Dec-2008,13.72
12-Dec-2008,14.88
19-Dec-2008,15.29
26-Dec-2008,15.28
02-Jan-2009,15.10
09-Jan-2009,14.01
16-Jan-2009,12.32
23-Jan-2009,11.40
30-Jan-2009,11.57
06-Feb-2009,9.87
13-Feb-2009,8.45
20-Feb-2009,9.76
27-Feb-2009,9.96
06-Mar-2009,10.65
13-Mar-2009,12.05
20-Mar-2009,10.96
27-Mar-2009,10.90
03-Apr-2009,12.18
10-Apr-2009,13.06
17-Apr-2009,13.60
24-Apr-2009,13.50
01-May-2009,14.15
08-May-2009,15.23
15-May-2009,13.81
22-May-2009,14.89
29-May-2009,14.65
05-Jun-2009,13.89
12-Jun-2009,12.85
19-Jun-2009,13.15
26-Jun-2009,13.25
03-Jul-2009,12.96
10-Jul-2009,13.93
17-Jul-2009,14.02
24-Jul-2009,14.27
31-Jul-2009,13.66
07-Aug-2009,14.26
14-Aug-2009,14.32
21-Aug-2009,15.32
28-Aug-2009,15.13
04-Sep-2009,15.18
11-Sep-2009,14.53
18-Sep-2009,13.60
25-Sep-2009,13.06
02-Oct-2009,13.05
09-Oct-2009,13.78
16-Oct-2009,14.14
23-Oct-2009,14.39
30-Oct-2009,14.54
06-Nov-2009,13.97
13-Nov-2009,13.41
20-Nov-2009,13.07
27-Nov-2009,13.18
04-Dec-2009,14.12
11-Dec-2009,14.36
18-Dec-2009,13.39
25-Dec-2009,12.55
08-Jan-2010,12.82
15-Jan-2010,13.23
22-Jan-2010,12.97
29-Jan-2010,12.71
05-Feb-2010,13.11
12-Feb-2010,12.82
19-Feb-2010,12.36
26-Feb-2010,12.86
05-Mar-2010,13.16
12-Mar-2010,12.76
19-Mar-2010,12.96
26-Mar-2010,12.81
02-Apr-2010,12.98
09-Apr-2010,13.59
16-Apr-2010,14.31
23-Apr-2010,14.85
30-Apr-2010,15.84
07-May-2010,15.42
14-May-2010,15.56
21-May-2010,14.76
28-May-2010,15.02
04-Jun-2010,15.25
11-Jun-2010,15.53
18-Jun-2010,15.62
25-Jun-2010,15.28
02-Jul-2010,15.29
09-Jul-2010,14.55
16-Jul-2010,14.19
23-Jul-2010,13.94
30-Jul-2010,14.08
06-Aug-2010,14.17
13-Aug-2010,14.42
20-Aug-2010,15.00
27-Aug-2010,15.22
03-Sep-2010,15.69
10-Sep-2010,15.23
17-Sep-2010,15.26
24-Sep-2010,15.23
01-Oct-2010,15.36
08-Oct-2010,15.57
